,chapter,paragraph
356,4,"“Do be more polite to him,” Wendy whispered to John, when they were playing “Follow my Leader.”"
357,4,"“Then tell him to stop showing off,” said John."
358,4,"When playing Follow my Leader, Peter would fly close to the water and touch each shark’s tail in passing, just as in the street you may run your finger along an iron railing. They could not follow him in this with much success, so perhaps it was rather like showing off, especially as he kept looking behind to see how many tails they missed."
359,4,"“You must be nice to him,” Wendy impressed on her brothers. “What could we do if he were to leave us!”"
360,4,"“We could go back,” Michael said."
361,4,“How could we ever find our way back without him?”
362,4,"“Well, then, we could go on,” said John."
363,4,"“That is the awful thing, John. We should have to go on, for we don’t know how to stop.”"
364,4,"This was true, Peter had forgotten to show them how to stop."
365,4,"John said that if the worst came to the worst, all they had to do was to go straight on, for the world was round, and so in time they must come back to their own window."
366,4,"“And who is to get food for us, John?”"
367,4,"“I nipped a bit out of that eagle’s mouth pretty neatly, Wendy.”"
368,4,"“After the twentieth try,” Wendy reminded him. “And even though we became good at picking up food, see how we bump against clouds and things if he is not near to give us a hand.”"
369,4,"Indeed they were constantly bumping. They could now fly strongly, though they still kicked far too much; but if they saw a cloud in front of them, the more they tried to avoid it, the more certainly did they bump into it. If Nana had been with them, she would have had a bandage round Michael’s forehead by this time."
370,4,"Peter was not with them for the moment, and they felt rather lonely up there by themselves. He could go so much faster than they that he would suddenly shoot out of sight, to have some adventure in which they had no share. He would come down laughing over something fearfully funny he had been saying to a star, but he had already forgotten what it was, or he would come up with mermaid scales still sticking to him, and yet not be able to say for certain what had been happening. It was really rather irritating to children who had never seen a mermaid."
371,4,"“And if he forgets them so quickly,” Wendy argued, “how can we expect that he will go on remembering us?”"
372,4,"Indeed, sometimes when he returned he did not remember them, at least not well. Wendy was sure of it. She saw recognition come into his eyes as he was about to pass them the time of day and go on; once even she had to call him by name."
373,4,"“I’m Wendy,” she said agitatedly."
374,4,"He was very sorry. “I say, Wendy,” he whispered to her, “always if you see me forgetting you, just keep on saying ‘I’m Wendy,’ and then I’ll remember.”"
375,4,"Of course this was rather unsatisfactory. However, to make amends he showed them how to lie out flat on a strong wind that was going their way, and this was such a pleasant change that they tried it several times and found that they could sleep thus with security. Indeed they would have slept longer, but Peter tired quickly of sleeping, and soon he would cry in his captain voice, “We get off here.” So with occasional tiffs, but on the whole rollicking, they drew near the Neverland; for after many moons they did reach it, and, what is more, they had been going pretty straight all the time, not perhaps so much owing to the guidance of Peter or Tink as because the island was looking for them. It is only thus that any one may sight those magic shores."
376,4,"“There it is,” said Peter calmly."
377,4,"“Where, where?”"
378,4,“Where all the arrows are pointing.”
379,4,"Indeed a million golden arrows were pointing it out to the children, all directed by their friend the sun, who wanted them to be sure of their way before leaving them for the night."
380,4,"Wendy and John and Michael stood on tip-toe in the air to get their first sight of the island. Strange to say, they all recognized it at once, and until fear fell upon them they hailed it, not as something long dreamt of and seen at last, but as a familiar friend to whom they were returning home for the holidays."
381,4,"“John, there’s the lagoon.”"
382,4,"“Wendy, look at the turtles burying their eggs in the sand.”"
383,4,"“I say, John, I see your flamingo with the broken leg!”"
384,4,"“Look, Michael, there’s your cave!”"
385,4,"“John, what’s that in the brushwood?”"
386,4,"“It’s a wolf with her whelps. Wendy, I do believe that’s your little whelp!”"
387,4,"“There’s my boat, John, with her sides stove in!”"
388,4,"“No, it isn’t. Why, we burned your boat.”"
389,4,"“That’s her, at any rate. I say, John, I see the smoke of the redskin camp!”"
390,4,"“Where? Show me, and I’ll tell you by the way smoke curls whether they are on the war-path.”"
391,4,"“There, just across the Mysterious River.”"
392,4,"“I see now. Yes, they are on the war-path right enough.”"
393,4,"Peter was a little annoyed with them for knowing so much, but if he wanted to lord it over them his triumph was at hand, for have I not told you that anon fear fell upon them?"
394,4,"It came as the arrows went, leaving the island in gloom."
395,4,"In the old days at home the Neverland had always begun to look a little dark and threatening by bedtime. Then unexplored patches arose in it and spread, black shadows moved about in them, the roar of the beasts of prey was quite different now, and above all, you lost the certainty that you would win. You were quite glad that the night-lights were on. You even liked Nana to say that this was just the mantelpiece over here, and that the Neverland was all make-believe."
396,4,"Of course the Neverland had been make-believe in those days, but it was real now, and there were no night-lights, and it was getting darker every moment, and where was Nana?"
397,4,"They had been flying apart, but they huddled close to Peter now. His careless manner had gone at last, his eyes were sparkling, and a tingle went through them every time they touched his body. They were now over the fearsome island, flying so low that sometimes a tree grazed their feet. Nothing horrid was visible in the air, yet their progress had become slow and laboured, exactly as if they were pushing their way through hostile forces. Sometimes they hung in the air until Peter had beaten on it with his fists."
398,4,"“They don’t want us to land,” he explained."
399,4,"“Who are they?” Wendy whispered, shuddering."
400,4,"But he could not or would not say. Tinker Bell had been asleep on his shoulder, but now he wakened her and sent her on in front."
401,4,"Sometimes he poised himself in the air, listening intently, with his hand to his ear, and again he would stare down with eyes so bright that they seemed to bore two holes to earth. Having done these things, he went on again."
402,4,"His courage was almost appalling. “Would you like an adventure now,” he said casually to John, “or would you like to have your tea first?”"
403,4,"Wendy said “tea first” quickly, and Michael pressed her hand in gratitude, but the braver John hesitated."
404,4,“What kind of adventure?” he asked cautiously.
405,4,"“There’s a pirate asleep in the pampas just beneath us,” Peter told him. “If you like, we’ll go down and kill him.”"
406,4,"“I don’t see him,” John said after a long pause."
407,4,"“Suppose,” John said, a little huskily, “he were to wake up.”"
408,4,"Peter spoke indignantly. “You don’t think I would kill him while he was sleeping! I would wake him first, and then kill him. That’s the way I always do.”"
409,4,“I say! Do you kill many?”
410,4,"John said “How ripping,” but decided to have tea first. He asked if there were many pirates on the island just now, and Peter said he had never known so many."
411,4,“Who is captain now?”
412,4,"“Hook,” answered Peter, and his face became very stern as he said that hated word."
413,4,“Jas. Hook?”
414,4,"Then indeed Michael began to cry, and even John could speak in gulps only, for they knew Hook’s reputation."
415,4,"“He was Blackbeard’s bo’sun,” John whispered huskily. “He is the worst of them all. He is the only man of whom Barbecue was afraid.”"
416,4,"“That’s him,” said Peter."
417,4,“What is he like? Is he big?”
418,4,“He is not so big as he was.”
419,4,“How do you mean?”
420,4,“I cut off a bit of him.”
421,4,"“Yes, me,” said Peter sharply."
422,4,“I wasn’t meaning to be disrespectful.”
423,4,"“Oh, all right.”"
424,4,"“But, I say, what bit?”"
425,4,“His right hand.”
426,4,“Then he can’t fight now?”
427,4,"“Oh, can’t he just!”"
428,4,“Left-hander?”
429,4,"“He has an iron hook instead of a right hand, and he claws with it.”"
430,4,"“I say, John,” said Peter."
431,4,"“Say, ‘Ay, ay, sir.’”"
432,4,"“Ay, ay, sir.”"
433,4,"“There is one thing,” Peter continued, “that every boy who serves under me has to promise, and so must you.”"
434,4,John paled.
435,4,"“It is this, if we meet Hook in open fight, you must leave him to me.”"
436,4,"“I promise,” John said loyally."
437,4,"For the moment they were feeling less eerie, because Tink was flying with them, and in her light they could distinguish each other. Unfortunately she could not fly so slowly as they, and so she had to go round and round them in a circle in which they moved as in a halo. Wendy quite liked it, until Peter pointed out the drawbacks."
438,4,"“She tells me,” he said, “that the pirates sighted us before the darkness came, and got Long Tom out.”"
439,4,“The big gun?”
440,4,"“Yes. And of course they must see her light, and if they guess we are near it they are sure to let fly.”"
441,4,“Michael!”
442,4,"“Tell her to go away at once, Peter,” the three cried simultaneously, but he refused."
443,4,"“She thinks we have lost the way,” he replied stiffly, “and she is rather frightened. You don’t think I would send her away all by herself when she is frightened!”"
444,4,"For a moment the circle of light was broken, and something gave Peter a loving little pinch."
445,4,"“Then tell her,” Wendy begged, “to put out her light.”"
446,4,"“She can’t put it out. That is about the only thing fairies can’t do. It just goes out of itself when she falls asleep, same as the stars.”"
447,4,"“Then tell her to sleep at once,” John almost ordered."
448,4,“She can’t sleep except when she’s sleepy. It is the only other thing fairies can’t do.”
449,4,"“Seems to me,” growled John, “these are the only two things worth doing.”"
450,4,"Here he got a pinch, but not a loving one."
451,4,"“If only one of us had a pocket,” Peter said, “we could carry her in it.” However, they had set off in such a hurry that there was not a pocket between the four of them."
452,4,He had a happy idea. John’s hat!
453,4,"Tink agreed to travel by hat if it was carried in the hand. John carried it, though she had hoped to be carried by Peter. Presently Wendy took the hat, because John said it struck against his knee as he flew; and this, as we shall see, led to mischief, for Tinker Bell hated to be under an obligation to Wendy."
454,4,"In the black topper the light was completely hidden, and they flew on in silence. It was the stillest silence they had ever known, broken once by a distant lapping, which Peter explained was the wild beasts drinking at the ford, and again by a rasping sound that might have been the branches of trees rubbing together, but he said it was the redskins sharpening their knives."
455,4,Even these noises ceased. To Michael the loneliness was dreadful. “If only something would make a sound!” he cried.
456,4,"As if in answer to his request, the air was rent by the most tremendous crash he had ever heard. The pirates had fired Long Tom at them."
457,4,"The roar of it echoed through the mountains, and the echoes seemed to cry savagely, “Where are they, where are they, where are they?”"
458,4,Thus sharply did the terrified three learn the difference between an island of make-believe and the same island come true.
459,4,"When at last the heavens were steady again, John and Michael found themselves alone in the darkness. John was treading the air mechanically, and Michael without knowing how to float was floating."
460,4,“Are you shot?” John whispered tremulously.
461,4,"“I haven’t tried yet,” Michael whispered back."
462,4,"We know now that no one had been hit. Peter, however, had been carried by the wind of the shot far out to sea, while Wendy was blown upwards with no companion but Tinker Bell."
463,4,It would have been well for Wendy if at that moment she had dropped the hat.
464,4,"I don’t know whether the idea came suddenly to Tink, or whether she had planned it on the way, but she at once popped out of the hat and began to lure Wendy to her destruction."
465,4,"Tink was not all bad; or, rather, she was all bad just now, but, on the other hand, sometimes she was all good. Fairies have to be one thing or the other, because being so small they unfortunately have room for one feeling only at a time. They are, however, allowed to change, only it must be a complete change. At present she was full of jealousy of Wendy. What she said in her lovely tinkle Wendy could not of course understand, and I believe some of it was bad words, but it sounded kind, and she flew back and forward, plainly meaning “Follow me, and all will be well.”"
466,4,"What else could poor Wendy do? She called to Peter and John and Michael, and got only mocking echoes in reply. She did not yet know that Tink hated her with the fierce hatred of a very woman. And so, bewildered, and now staggering in her flight, she followed Tink to her doom."
467,5,Chapter V. THE ISLAND COME TRUE
468,5,"Feeling that Peter was on his way back, the Neverland had again woke into life. We ought to use the pluperfect and say wakened, but woke is better and was always used by Peter."
469,5,"In his absence things are usually quiet on the island. The fairies take an hour longer in the morning, the beasts attend to their young, the redskins feed heavily for six days and nights, and when pirates and lost boys meet they merely bite their thumbs at each other. But with the coming of Peter, who hates lethargy, they are under way again: if you put your ear to the ground now, you would hear the whole island seething with life."
470,5,"On this evening the chief forces of the island were disposed as follows. The lost boys were out looking for Peter, the pirates were out looking for the lost boys, the redskins were out looking for the pirates, and the beasts were out looking for the redskins. They were going round and round the island, but they did not meet because all were going at the same rate."
471,5,"All wanted blood except the boys, who liked it as a rule, but to-night were out to greet their captain. The boys on the island vary, of course, in numbers, according as they get killed and so on; and when they seem to be growing up, which is against the rules, Peter thins them out; but at this time there were six of them, counting the twins as two. Let us pretend to lie here among the sugar-cane and watch them as they steal by in single file, each with his hand on his dagger."
472,5,"They are forbidden by Peter to look in the least like him, and they wear the skins of the bears slain by themselves, in which they are so round and furry that when they fall they roll. They have therefore become very sure-footed."
473,5,"The first to pass is Tootles, not the least brave but the most unfortunate of all that gallant band. He had been in fewer adventures than any of them, because the big things constantly happened just when he had stepped round the corner; all would be quiet, he would take the opportunity of going off to gather a few sticks for firewood, and then when he returned the others would be sweeping up the blood. This ill-luck had given a gentle melancholy to his countenance, but instead of souring his nature had sweetened it, so that he was quite the humblest of the boys. Poor kind Tootles, there is danger in the air for you to-night. Take care lest an adventure is now offered you, which, if accepted, will plunge you in deepest woe. Tootles, the fairy Tink, who is bent on mischief this night is looking for a tool, and she thinks you are the most easily tricked of the boys. ’Ware Tinker Bell."
474,5,"Would that he could hear us, but we are not really on the island, and he passes by, biting his knuckles."
475,5,"Next comes Nibs, the gay and debonair, followed by Slightly, who cuts whistles out of the trees and dances ecstatically to his own tunes. Slightly is the most conceited of the boys. He thinks he remembers the days before he was lost, with their manners and customs, and this has given his nose an offensive tilt. Curly is fourth; he is a pickle, and so often has he had to deliver up his person when Peter said sternly, “Stand forth the one who did this thing,” that now at the command he stands forth automatically whether he has done it or not. Last come the Twins, who cannot be described because we should be sure to be describing the wrong one. Peter never quite knew what twins were, and his band were not allowed to know anything he did not know, so these two were always vague about themselves, and did their best to give satisfaction by keeping close together in an apologetic sort of way."
476,5,"The boys vanish in the gloom, and after a pause, but not a long pause, for things go briskly on the island, come the pirates on their track. We hear them before they are seen, and it is always the same dreadful song:"
477,5,"“Avast belay, yo ho, heave to,     A-pirating we go, And if we’re parted by a shot     We’re sure to meet below!”"
478,5,"A more villainous-looking lot never hung in a row on Execution dock. Here, a little in advance, ever and again with his head to the ground listening, his great arms bare, pieces of eight in his ears as ornaments, is the handsome Italian Cecco, who cut his name in letters of blood on the back of the governor of the prison at Gao. That gigantic black behind him has had many names since he dropped the one with which dusky mothers still terrify their children on the banks of the Guadjo-mo. Here is Bill Jukes, every inch of him tattooed, the same Bill Jukes who got six dozen on the _Walrus_ from Flint before he would drop the bag of moidores; and Cookson, said to be Black Murphy’s brother (but this was never proved), and Gentleman Starkey, once an usher in a public school and still dainty in his ways of killing; and Skylights (Morgan’s Skylights); and the Irish bo’sun Smee, an oddly genial man who stabbed, so to speak, without offence, and was the only Non-conformist in Hook’s crew; and Noodler, whose hands were fixed on backwards; and Robt. Mullins and Alf Mason and many another ruffian long known and feared on the Spanish Main."
479,5,"In the midst of them, the blackest and largest in that dark setting, reclined James Hook, or as he wrote himself, Jas. Hook, of whom it is said he was the only man that the Sea-Cook feared. He lay at his ease in a rough chariot drawn and propelled by his men, and instead of a right hand he had the iron hook with which ever and anon he encouraged them to increase their pace. As dogs this terrible man treated and addressed them, and as dogs they obeyed him. In person he was cadaverous and blackavized, and his hair was dressed in long curls, which at a little distance looked like black candles, and gave a singularly threatening expression to his handsome countenance. His eyes were of the blue of the forget-me-not, and of a profound melancholy, save when he was plunging his hook into you, at which time two red spots appeared in them and lit them up horribly. In manner, something of the grand seigneur still clung to him, so that he even ripped you up with an air, and I have been told that he was a _raconteur_ of repute. He was never more sinister than when he was most polite, which is probably the truest test of breeding; and the elegance of his diction, even when he was swearing, no less than the distinction of his demeanour, showed him one of a different cast from his crew. A man of indomitable courage, it was said that the only thing he shied at was the sight of his own blood, which was thick and of an unusual colour. In dress he somewhat aped the attire associated with the name of Charles II, having heard it said in some earlier period of his career that he bore a strange resemblance to the ill-fated Stuarts; and in his mouth he had a holder of his own contrivance which enabled him to smoke two cigars at once. But undoubtedly the grimmest part of him was his iron claw."
480,5,"Let us now kill a pirate, to show Hook’s method. Skylights will do. As they pass, Skylights lurches clumsily against him, ruffling his lace collar; the hook shoots forth, there is a tearing sound and one screech, then the body is kicked aside, and the pirates pass on. He has not even taken the cigars from his mouth."
481,5,Such is the terrible man against whom Peter Pan is pitted. Which will win?
482,5,"On the trail of the pirates, stealing noiselessly down the war-path, which is not visible to inexperienced eyes, come the redskins, every one of them with his eyes peeled. They carry tomahawks and knives, and their naked bodies gleam with paint and oil. Strung around them are scalps, of boys as well as of pirates, for these are the Piccaninny tribe, and not to be confused with the softer-hearted Delawares or the Hurons. In the van, on all fours, is Great Big Little Panther, a brave of so many scalps that in his present position they somewhat impede his progress. Bringing up the rear, the place of greatest danger, comes Tiger Lily, proudly erect, a princess in her own right. She is the most beautiful of dusky Dianas and the belle of the Piccaninnies, coquettish, cold and amorous by turns; there is not a brave who would not have the wayward thing to wife, but she staves off the altar with a hatchet. Observe how they pass over fallen twigs without making the slightest noise. The only sound to be heard is their somewhat heavy breathing. The fact is that they are all a little fat just now after the heavy gorging, but in time they will work this off. For the moment, however, it constitutes their chief danger."
483,5,"The redskins disappear as they have come like shadows, and soon their place is taken by the beasts, a great and motley procession: lions, tigers, bears, and the innumerable smaller savage things that flee from them, for every kind of beast, and, more particularly, all the man-eaters, live cheek by jowl on the favoured island. Their tongues are hanging out, they are hungry to-night."
484,5,"When they have passed, comes the last figure of all, a gigantic crocodile. We shall see for whom she is looking presently."
485,5,"The crocodile passes, but soon the boys appear again, for the procession must continue indefinitely until one of the parties stops or changes its pace. Then quickly they will be on top of each other."
486,5,"All are keeping a sharp look-out in front, but none suspects that the danger may be creeping up from behind. This shows how real the island was."
487,5,"The first to fall out of the moving circle was the boys. They flung themselves down on the sward, close to their underground home."
488,5,"“I do wish Peter would come back,” every one of them said nervously, though in height and still more in breadth they were all larger than their captain."
489,5,"“I am the only one who is not afraid of the pirates,” Slightly said, in the tone that prevented his being a general favourite; but perhaps some distant sound disturbed him, for he added hastily, “but I wish he would come back, and tell us whether he has heard anything more about Cinderella.”"
490,5,"They talked of Cinderella, and Tootles was confident that his mother must have been very like her."
491,5,"It was only in Peter’s absence that they could speak of mothers, the subject being forbidden by him as silly."
492,5,"“All I remember about my mother,” Nibs told them, “is that she often said to my father, ‘Oh, how I wish I had a cheque-book of my own!’ I don’t know what a cheque-book is, but I should just love to give my mother one.”"
493,5,"While they talked they heard a distant sound. You or I, not being wild things of the woods, would have heard nothing, but they heard it, and it was the grim song:"
494,5,"“Yo ho, yo ho, the pirate life,     The flag o’ skull and bones, A merry hour, a hempen rope,     And hey for Davy Jones.”"
495,5,At once the lost boys—but where are they? They are no longer there. Rabbits could not have disappeared more quickly.
496,5,"I will tell you where they are. With the exception of Nibs, who has darted away to reconnoitre, they are already in their home under the ground, a very delightful residence of which we shall see a good deal presently. But how have they reached it? for there is no entrance to be seen, not so much as a large stone, which if rolled away, would disclose the mouth of a cave. Look closely, however, and you may note that there are here seven large trees, each with a hole in its hollow trunk as large as a boy. These are the seven entrances to the home under the ground, for which Hook has been searching in vain these many moons. Will he find it tonight?"
497,5,"As the pirates advanced, the quick eye of Starkey sighted Nibs disappearing through the wood, and at once his pistol flashed out. But an iron claw gripped his shoulder."
498,5,"“Captain, let go!” he cried, writhing."
499,5,"Now for the first time we hear the voice of Hook. It was a black voice. “Put back that pistol first,” it said threateningly."
500,5,“It was one of those boys you hate. I could have shot him dead.”
501,5,"“Ay, and the sound would have brought Tiger Lily’s redskins upon us. Do you want to lose your scalp?”"
502,5,"“Shall I after him, Captain,” asked pathetic Smee, “and tickle him with Johnny Corkscrew?” Smee had pleasant names for everything, and his cutlass was Johnny Corkscrew, because he wiggled it in the wound. One could mention many lovable traits in Smee. For instance, after killing, it was his spectacles he wiped instead of his weapon."
503,5,"“Johnny’s a silent fellow,” he reminded Hook."
504,5,"“Not now, Smee,” Hook said darkly. “He is only one, and I want to mischief all the seven. Scatter and look for them.”"
505,5,"The pirates disappeared among the trees, and in a moment their Captain and Smee were alone. Hook heaved a heavy sigh, and I know not why it was, perhaps it was because of the soft beauty of the evening, but there came over him a desire to confide to his faithful bo’sun the story of his life. He spoke long and earnestly, but what it was all about Smee, who was rather stupid, did not know in the least."
506,5,Anon he caught the word Peter.
507,5,"“Most of all,” Hook was saying passionately, “I want their captain, Peter Pan. ’Twas he cut off my arm.” He brandished the hook threateningly. “I’ve waited long to shake his hand with this. Oh, I’ll tear him!”"
508,5,"“And yet,” said Smee, “I have often heard you say that hook was worth a score of hands, for combing the hair and other homely uses.”"
509,5,"“Ay,” the captain answered, “if I was a mother I would pray to have my children born with this instead of that,” and he cast a look of pride upon his iron hand and one of scorn upon the other. Then again he frowned."
510,5,"“Peter flung my arm,” he said, wincing, “to a crocodile that happened to be passing by.”"
511,5,"“I have often,” said Smee, “noticed your strange dread of crocodiles.”"
512,5,"“Not of crocodiles,” Hook corrected him, “but of that one crocodile.” He lowered his voice. “It liked my arm so much, Smee, that it has followed me ever since, from sea to sea and from land to land, licking its lips for the rest of me.”"
513,5,"“In a way,” said Smee, “it’s sort of a compliment.”"
514,5,"“I want no such compliments,” Hook barked petulantly. “I want Peter Pan, who first gave the brute its taste for me.”"
515,5,"He sat down on a large mushroom, and now there was a quiver in his voice. “Smee,” he said huskily, “that crocodile would have had me before this, but by a lucky chance it swallowed a clock which goes tick tick inside it, and so before it can reach me I hear the tick and bolt.” He laughed, but in a hollow way."
516,5,"“Some day,” said Smee, “the clock will run down, and then he’ll get you.”"
517,5,"Hook wetted his dry lips. “Ay,” he said, “that’s the fear that haunts me.”"
518,5,"Since sitting down he had felt curiously warm. “Smee,” he said, “this seat is hot.” He jumped up. “Odds bobs, hammer and tongs I’m burning.”"
519,5,"They examined the mushroom, which was of a size and solidity unknown on the mainland; they tried to pull it up, and it came away at once in their hands, for it had no root. Stranger still, smoke began at once to ascend. The pirates looked at each other. “A chimney!” they both exclaimed."
520,5,They had indeed discovered the chimney of the home under the ground. It was the custom of the boys to stop it with a mushroom when enemies were in the neighbourhood.
521,5,"Not only smoke came out of it. There came also children’s voices, for so safe did the boys feel in their hiding-place that they were gaily chattering. The pirates listened grimly, and then replaced the mushroom. They looked around them and noted the holes in the seven trees."
522,5,"“Did you hear them say Peter Pan’s from home?” Smee whispered, fidgeting with Johnny Corkscrew."
523,5,"Hook nodded. He stood for a long time lost in thought, and at last a curdling smile lit up his swarthy face. Smee had been waiting for it. “Unrip your plan, captain,” he cried eagerly."
524,5,"“To return to the ship,” Hook replied slowly through his teeth, “and cook a large rich cake of a jolly thickness with green sugar on it. There can be but one room below, for there is but one chimney. The silly moles had not the sense to see that they did not need a door apiece. That shows they have no mother. We will leave the cake on the shore of the Mermaids’ Lagoon. These boys are always swimming about there, playing with the mermaids. They will find the cake and they will gobble it up, because, having no mother, they don’t know how dangerous ’tis to eat rich damp cake.” He burst into laughter, not hollow laughter now, but honest laughter. “Aha, they will die.”"
525,5,Smee had listened with growing admiration.
526,5,"“It’s the wickedest, prettiest policy ever I heard of!” he cried, and in their exultation they danced and sang:"
527,5,"“Avast, belay, when I appear,     By fear they’re overtook; Nought’s left upon your bones when you     Have shaken claws with Hook.”"
528,5,"They began the verse, but they never finished it, for another sound broke in and stilled them. There was at first such a tiny sound that a leaf might have fallen on it and smothered it, but as it came nearer it was more distinct."
529,5,Tick tick tick tick!
530,5,"Hook stood shuddering, one foot in the air."
531,5,"“The crocodile!” he gasped, and bounded away, followed by his bo’sun."
532,5,"It was indeed the crocodile. It had passed the redskins, who were now on the trail of the other pirates. It oozed on after Hook."
533,5,"Once more the boys emerged into the open; but the dangers of the night were not yet over, for presently Nibs rushed breathless into their midst, pursued by a pack of wolves. The tongues of the pursuers were hanging out; the baying of them was horrible."
534,5,"“Save me, save me!” cried Nibs, falling on the ground."
535,5,"“But what can we do, what can we do?”"
536,5,It was a high compliment to Peter that at that dire moment their thoughts turned to him.
537,5,“What would Peter do?” they cried simultaneously.
538,5,"Almost in the same breath they cried, “Peter would look at them through his legs.”"
539,5,"And then, “Let us do what Peter would do.”"
540,5,"It is quite the most successful way of defying wolves, and as one boy they bent and looked through their legs. The next moment is the long one, but victory came quickly, for as the boys advanced upon them in the terrible attitude, the wolves dropped their tails and fled."
541,5,"Now Nibs rose from the ground, and the others thought that his staring eyes still saw the wolves. But it was not wolves he saw."
542,5,"“I have seen a wonderfuller thing,” he cried, as they gathered round him eagerly. “A great white bird. It is flying this way.”"
543,5,"“What kind of a bird, do you think?”"
544,5,"“I don’t know,” Nibs said, awestruck, “but it looks so weary, and as it flies it moans, ‘Poor Wendy.’”"
545,5,“Poor Wendy?”
546,5,"“I remember,” said Slightly instantly, “there are birds called Wendies.”"
547,5,"“See, it comes!” cried Curly, pointing to Wendy in the heavens."
548,5,"Wendy was now almost overhead, and they could hear her plaintive cry. But more distinct came the shrill voice of Tinker Bell. The jealous fairy had now cast off all disguise of friendship, and was darting at her victim from every direction, pinching savagely each time she touched."
549,5,"“Hullo, Tink,” cried the wondering boys."
550,5,Tink’s reply rang out: “Peter wants you to shoot the Wendy.”
551,5,"It was not in their nature to question when Peter ordered. “Let us do what Peter wishes!” cried the simple boys. “Quick, bows and arrows!”"
552,5,"All but Tootles popped down their trees. He had a bow and arrow with him, and Tink noted it, and rubbed her little hands."
553,5,"“Quick, Tootles, quick,” she screamed. “Peter will be so pleased.”"
554,5,"Tootles excitedly fitted the arrow to his bow. “Out of the way, Tink,” he shouted, and then he fired, and Wendy fluttered to the ground with an arrow in her breast."
555,6,Chapter VI. THE LITTLE HOUSE
556,6,"Foolish Tootles was standing like a conqueror over Wendy’s body when the other boys sprang, armed, from their trees."
557,6,"“You are too late,” he cried proudly, “I have shot the Wendy. Peter will be so pleased with me.”"
558,6,"Overhead Tinker Bell shouted “Silly ass!” and darted into hiding. The others did not hear her. They had crowded round Wendy, and as they looked a terrible silence fell upon the wood. If Wendy’s heart had been beating they would all have heard it."
559,6,"Slightly was the first to speak. “This is no bird,” he said in a scared voice. “I think this must be a lady.”"
560,6,"“A lady?” said Tootles, and fell a-trembling."
561,6,"“And we have killed her,” Nibs said hoarsely."
562,6,They all whipped off their caps.
563,6,"“Now I see,” Curly said: “Peter was bringing her to us.” He threw himself sorrowfully on the ground."
564,6,"“A lady to take care of us at last,” said one of the twins, “and you have killed her!”"
565,6,"They were sorry for him, but sorrier for themselves, and when he took a step nearer them they turned from him."
566,6,"Tootles’ face was very white, but there was a dignity about him now that had never been there before."
567,6,"“I did it,” he said, reflecting. “When ladies used to come to me in dreams, I said, ‘Pretty mother, pretty mother.’ But when at last she really came, I shot her.”"
568,6,He moved slowly away.
569,6,"“Don’t go,” they called in pity."
570,6,"“I must,” he answered, shaking; “I am so afraid of Peter.”"
571,6,It was at this tragic moment that they heard a sound which made the heart of every one of them rise to his mouth. They heard Peter crow.
572,6,"“Peter!” they cried, for it was always thus that he signalled his return."
573,6,"“Hide her,” they whispered, and gathered hastily around Wendy. But Tootles stood aloof."
574,6,"Again came that ringing crow, and Peter dropped in front of them. “Greetings, boys,” he cried, and mechanically they saluted, and then again was silence."
575,6,He frowned.
576,6,"“I am back,” he said hotly, “why do you not cheer?”"
577,6,"They opened their mouths, but the cheers would not come. He overlooked it in his haste to tell the glorious tidings."
578,6,"“Great news, boys,” he cried, “I have brought at last a mother for you all.”"
579,6,"Still no sound, except a little thud from Tootles as he dropped on his knees."
580,6,"“Have you not seen her?” asked Peter, becoming troubled. “She flew this way.”"
581,6,"“Ah me!” one voice said, and another said, “Oh, mournful day.”"
582,6,"Tootles rose. “Peter,” he said quietly, “I will show her to you,” and when the others would still have hidden her he said, “Back, twins, let Peter see.”"
583,6,"So they all stood back, and let him see, and after he had looked for a little time he did not know what to do next."
584,6,"“She is dead,” he said uncomfortably. “Perhaps she is frightened at being dead.”"
585,6,"He thought of hopping off in a comic sort of way till he was out of sight of her, and then never going near the spot any more. They would all have been glad to follow if he had done this."
586,6,But there was the arrow. He took it from her heart and faced his band.
587,6,“Whose arrow?” he demanded sternly.
588,6,"“Mine, Peter,” said Tootles on his knees."
589,6,"“Oh, dastard hand,” Peter said, and he raised the arrow to use it as a dagger."
590,6,"Tootles did not flinch. He bared his breast. “Strike, Peter,” he said firmly, “strike true.”"
591,6,"Twice did Peter raise the arrow, and twice did his hand fall. “I cannot strike,” he said with awe, “there is something stays my hand.”"
592,6,"All looked at him in wonder, save Nibs, who fortunately looked at Wendy."
593,6,"“It is she,” he cried, “the Wendy lady, see, her arm!”"
594,6,"Wonderful to relate, Wendy had raised her arm. Nibs bent over her and listened reverently. “I think she said, ‘Poor Tootles,’” he whispered."
595,6,"“She lives,” Peter said briefly."
596,6,"Slightly cried instantly, “The Wendy lady lives.”"
597,6,Then Peter knelt beside her and found his button. You remember she had put it on a chain that she wore round her neck.
598,6,"“See,” he said, “the arrow struck against this. It is the kiss I gave her. It has saved her life.”"
599,6,"“I remember kisses,” Slightly interposed quickly, “let me see it. Ay, that’s a kiss.”"
600,6,"Peter did not hear him. He was begging Wendy to get better quickly, so that he could show her the mermaids. Of course she could not answer yet, being still in a frightful faint; but from overhead came a wailing note."
601,6,"“Listen to Tink,” said Curly, “she is crying because the Wendy lives.”"
602,6,"Then they had to tell Peter of Tink’s crime, and almost never had they seen him look so stern."
