,Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole
97,97,3,"“And who is Dinah, if I might venture to ask the question?” said the Lory.",15,74,bank,EXT,day,,,,,,,
98,98,3,"Alice replied eagerly, for she was always ready to talk about her pet: “Dinah’s our cat. And she’s such a capital one for catching mice you can’t think! And oh, I wish you could see her after the birds! Why, she’ll eat a little bird as soon as look at it!”",51,256,bank,EXT,day,Alice's mention of Dinah,"Alice mentions her cat, Dinah, which causes a stir among the birds, leading them to flee. This reveals Alice's loneliness and desire for normalcy in a bizarre world.",5.0,,,,Turning Point
99,99,3,"This speech caused a remarkable sensation among the party. Some of the birds hurried off at once: one old Magpie began wrapping itself up very carefully, remarking, “I really must be getting home; the night-air doesn’t suit my throat!” and a Canary called out in a trembling voice to its children, “Come away, my dears! It’s high time you were all in bed!” On various pretexts they all moved off, and Alice was soon left alone.",76,427,bank,EXT,day,Alice's mention of Dinah,"Alice mentions her cat, Dinah, which causes a stir among the birds, leading them to flee. This reveals Alice's loneliness and desire for normalcy in a bizarre world.",5.0,,,,Turning Point
100,100,3,"“I wish I hadn’t mentioned Dinah!” she said to herself in a melancholy tone. “Nobody seems to like her, down here, and I’m sure she’s the best cat in the world! Oh, my dear Dinah! I wonder if I shall ever see you any more!” And here poor Alice began to cry again, for she felt very lonely and low-spirited. In a little while, however, she again heard a little pattering of footsteps in the distance, and she looked up eagerly, half hoping that the Mouse had changed his mind, and was coming back to finish his story.",98,516,bank,EXT,day,Alice's lament for Dinah,"Feeling abandoned and sad after the others leave, Alice reflects on her pet and cries, which emphasizes her isolation and longing for comfort in the strange land.",6.0,Action,"Alice begins to cry, feeling lonely and low-spirited.",Alice,Resolution
101,101,4,CHAPTER IV. The Rabbit Sends in a Little Bill,9,45,,,,The White Rabbit's Panic,"The White Rabbit returns, anxiously muttering about lost items, suggesting that he has dropped a fan and gloves. Alice, understanding the Rabbit's distress, begins looking for them but finds everything has changed since her swim in the pool.",5.0,,,,
102,102,4,"It was the White Rabbit, trotting slowly back again, and looking anxiously about as it went, as if it had lost something; and she heard it muttering to itself “The Duchess! The Duchess! Oh my dear paws! Oh my fur and whiskers! She’ll get me executed, as sure as ferrets are ferrets! Where _can_ I have dropped them, I wonder?” Alice guessed in a moment that it was looking for the fan and the pair of white kid gloves, and she very good-naturedly began hunting about for them, but they were nowhere to be seen—everything seemed to have changed since her swim in the pool, and the great hall, with the glass table and the little door, had vanished completely.",120,658,house,INT,day,Alice encounters the White Rabbit again,"Alice spots the White Rabbit, who seems to have misplaced something and is mumbling anxiously. This introduces a sense of urgency and confusion for Alice as she decides to help him.",5.0,Action,"The Rabbit trotted back anxiously, muttering about losing something.",White Rabbit,Setup
103,103,4,"Very soon the Rabbit noticed Alice, as she went hunting about, and called out to her in an angry tone, “Why, Mary Ann, what _are_ you doing out here? Run home this moment, and fetch me a pair of gloves and a fan! Quick, now!” And Alice was so much frightened that she ran off at once in the direction it pointed to, without trying to explain the mistake it had made.",72,366,house,INT,day,Rabbit mistakes Alice for Mary Ann,"The White Rabbit mistakes Alice for his housemaid, Mary Ann, and orders her to fetch a pair of gloves and a fan, pushing Alice to comply due to her fright.",6.0,Statement,The Rabbit mistakenly called Alice 'Mary Ann' and ordered her to fetch his gloves and fan.,White Rabbit,Inciting Incident
104,104,4,"“He took me for his housemaid,” she said to herself as she ran. “How surprised he’ll be when he finds out who I am! But I’d better take him his fan and gloves—that is, if I can find them.” As she said this, she came upon a neat little house, on the door of which was a bright brass plate with the name “W. RABBIT,” engraved upon it. She went in without knocking, and hurried upstairs, in great fear lest she should meet the real Mary Ann, and be turned out of the house before she had found the fan and gloves.",102,510,house,INT,day,Alice enters the Rabbit's house,"Alice finds the Rabbit’s house and goes inside, driven by the need to fulfill his request. This decision sets the stage for her transformations and future challenges.",6.0,Action,Alice entered the Rabbit's house and hurried upstairs.,Alice,Setup
105,105,4,"“How queer it seems,” Alice said to herself, “to be going messages for a rabbit! I suppose Dinah’ll be sending me on messages next!” And she began fancying the sort of thing that would happen: “‘Miss Alice! Come here directly, and get ready for your walk!’ ‘Coming in a minute, nurse! But I’ve got to see that the mouse doesn’t get out.’ Only I don’t think,” Alice went on, “that they’d let Dinah stop in the house if it began ordering people about like that!”",85,460,house,INT,day,Alice's Indecision,"As Alice rushes around, she reflects on the absurdity of running errands for a rabbit and muses about her cat, Dinah, potentially giving her orders in the same way.",4.0,Statement,Alice thought it was strange to be running errands for a rabbit.,Alice,
106,106,4,"By this time she had found her way into a tidy little room with a table in the window, and on it (as she had hoped) a fan and two or three pairs of tiny white kid gloves: she took up the fan and a pair of the gloves, and was just going to leave the room, when her eye fell upon a little bottle that stood near the looking-glass. There was no label this time with the words “DRINK ME,” but nevertheless she uncorked it and put it to her lips. “I know _something_ interesting is sure to happen,” she said to herself, “whenever I eat or drink anything; so I’ll just see what this bottle does. I do hope it’ll make me grow large again, for really I’m quite tired of being such a tiny little thing!”",139,694,house,INT,day,Alice drinks from the magic bottle,"After finding a bottle, Alice decides to drink from it despite the lack of a label. This act causes her to grow significantly larger, complicating her situation.",7.0,Action,"Alice found a bottle and decided to drink from it, hoping for an interesting result.",Alice,Turning Point
107,107,4,"It did so indeed, and much sooner than she had expected: before she had drunk half the bottle, she found her head pressing against the ceiling, and had to stoop to save her neck from being broken. She hastily put down the bottle, saying to herself “That’s quite enough—I hope I shan’t grow any more—As it is, I can’t get out at the door—I do wish I hadn’t drunk quite so much!”",72,377,house,INT,day,Alice drinks from the magic bottle,"After finding a bottle, Alice decides to drink from it despite the lack of a label. This act causes her to grow significantly larger, complicating her situation.",7.0,Action,"After drinking, Alice began to grow larger very quickly.",Alice,Turning Point
108,108,4,"Alas! it was too late to wish that! She went on growing, and growing, and very soon had to kneel down on the floor: in another minute there was not even room for this, and she tried the effect of lying down with one elbow against the door, and the other arm curled round her head. Still she went on growing, and, as a last resource, she put one arm out of the window, and one foot up the chimney, and said to herself “Now I can do no more, whatever happens. What _will_ become of me?”",97,484,house,INT,day,Alice struggles with her size,"As Alice continues to grow, she becomes uncomfortable and begins to panic as she struggles to find a way to fit through the door, showcasing her internal conflict.",6.0,,,,Turning Point
109,109,4,"Luckily for Alice, the little magic bottle had now had its full effect, and she grew no larger: still it was very uncomfortable, and, as there seemed to be no sort of chance of her ever getting out of the room again, no wonder she felt unhappy.",47,244,house,INT,day,Alice struggles with her size,"As Alice continues to grow, she becomes uncomfortable and begins to panic as she struggles to find a way to fit through the door, showcasing her internal conflict.",6.0,,,,Turning Point
110,110,4,"“It was much pleasanter at home,” thought poor Alice, “when one wasn’t always growing larger and smaller, and being ordered about by mice and rabbits. I almost wish I hadn’t gone down that rabbit-hole—and yet—and yet—it’s rather curious, you know, this sort of life! I do wonder what _can_ have happened to me! When I used to read fairy-tales, I fancied that kind of thing never happened, and now here I am in the middle of one! There ought to be a book written about me, that there ought! And when I grow up, I’ll write one—but I’m grown up now,” she added in a sorrowful tone; “at least there’s no room to grow up any more _here_.”",118,633,house,INT,day,Contemplating Growth and Age,"Feeling miserable about her size, Alice reflects on the nature of growing up and the lessons she still has to learn, expressing her desire to escape her current predicament.",5.0,Statement,Alice reflected on her situation and compared it to her life at home.,Alice,
111,111,4,"“But then,” thought Alice, “shall I _never_ get any older than I am now? That’ll be a comfort, one way—never to be an old woman—but then—always to have lessons to learn! Oh, I shouldn’t like _that!_”",36,199,house,INT,day,Contemplating Growth and Age,,5.0,,,,
112,112,4,"“Oh, you foolish Alice!” she answered herself. “How can you learn lessons in here? Why, there’s hardly room for _you_, and no room at all for any lesson-books!”",28,160,house,INT,day,Contemplating Growth and Age,,5.0,,,,
113,113,4,"And so she went on, taking first one side and then the other, and making quite a conversation of it altogether; but after a few minutes she heard a voice outside, and stopped to listen.",35,185,house,INT,day,The Rabbit's Search for Mary Ann,"The Rabbit calls for Mary Ann, looking for help, while Alice, despite her large size, feels a sense of fear. She remembers that she is much larger than the Rabbit.",5.0,,,,
114,114,4,"“Mary Ann! Mary Ann!” said the voice. “Fetch me my gloves this moment!” Then came a little pattering of feet on the stairs. Alice knew it was the Rabbit coming to look for her, and she trembled till she shook the house, quite forgetting that she was now about a thousand times as large as the Rabbit, and had no reason to be afraid of it.",66,338,house,INT,day,The Rabbit's Search for Mary Ann,,5.0,,,,
115,115,4,"Presently the Rabbit came up to the door, and tried to open it; but, as the door opened inwards, and Alice’s elbow was pressed hard against it, that attempt proved a failure. Alice heard it say to itself “Then I’ll go round and get in at the window.”",48,250,house,INT,day,Attempted Entry by the Rabbit,"The Rabbit attempts to get into the room through the door, but fails because Alice blocks it. He decides to try entering through the window instead.",6.0,Action,The Rabbit attempted to open the door but failed due to Alice's size.,White Rabbit,
116,116,4,"“_That_ you won’t!” thought Alice, and, after waiting till she fancied she heard the Rabbit just under the window, she suddenly spread out her hand, and made a snatch in the air. She did not get hold of anything, but she heard a little shriek and a fall, and a crash of broken glass, from which she concluded that it was just possible it had fallen into a cucumber-frame, or something of the sort.",74,397,house,INT,day,Attempted Entry by the Rabbit,,6.0,,,,
117,117,4,"Next came an angry voice—the Rabbit’s—“Pat! Pat! Where are you?” And then a voice she had never heard before, “Sure then I’m here! Digging for apples, yer honour!”",28,163,house,INT,day,The Arrival of Bill,A character named Bill is discussed as the Rabbit and other animals try to figure out how to deal with Alice's size and their current predicament while attempting to pull Alice out.,5.0,Action,Pat responded to the Rabbit's call for assistance.,Pat,
118,118,4,"“Digging for apples, indeed!” said the Rabbit angrily. “Here! Come and help me out of _this!_” (Sounds of more broken glass.)",21,125,house,INT,day,The Arrival of Bill,,5.0,Action,"The Rabbit called for Pat to help him, showing signs of frustration.",White Rabbit,
119,119,4,"“Now tell me, Pat, what’s that in the window?”",9,46,house,INT,day,The Arrival of Bill,,5.0,,,,
120,120,4,"“Sure, it’s an arm, yer honour!” (He pronounced it “arrum.”)",10,60,house,INT,day,The Arrival of Bill,,5.0,,,,
121,121,4,"“An arm, you goose! Who ever saw one that size? Why, it fills the whole window!”",16,80,house,INT,day,The Arrival of Bill,,5.0,,,,
122,122,4,"“Sure, it does, yer honour: but it’s an arm for all that.”",12,58,house,INT,day,The Arrival of Bill,,5.0,Statement,Pat humorously remarked on the size of Alice's arm at the window.,Pat,
123,123,4,"“Well, it’s got no business there, at any rate: go and take it away!”",14,69,house,INT,day,The Arrival of Bill,,5.0,,,,
124,124,4,"There was a long silence after this, and Alice could only hear whispers now and then; such as, “Sure, I don’t like it, yer honour, at all, at all!” “Do as I tell you, you coward!” and at last she spread out her hand again, and made another snatch in the air. This time there were _two_ little shrieks, and more sounds of broken glass. “What a number of cucumber-frames there must be!” thought Alice. “I wonder what they’ll do next! As for pulling me out of the window, I only wish they _could!_ I’m sure _I_ don’t want to stay in here any longer!”",105,547,house,INT,day,The Arrival of Bill,,5.0,,,,
125,125,4,"She waited for some time without hearing anything more: at last came a rumbling of little cartwheels, and the sound of a good many voices all talking together: she made out the words: “Where’s the other ladder?—Why, I hadn’t to bring but one; Bill’s got the other—Bill! fetch it here, lad!—Here, put ’em up at this corner—No, tie ’em together first—they don’t reach half high enough yet—Oh! they’ll do well enough; don’t be particular—Here, Bill! catch hold of this rope—Will the roof bear?—Mind that loose slate—Oh, it’s coming down! Heads below!” (a loud crash)—“Now, who did that?—It was Bill, I fancy—Who’s to go down the chimney?—Nay, _I_ shan’t! _You_ do it!—_That_ I won’t, then!—Bill’s to go down—Here, Bill! the master says you’re to go down the chimney!”",127,764,house,INT,day,The Arrival of Bill,,5.0,Action,Bill was called upon by the Rabbit to help with the predicament.,Bill,
126,126,4,"“Oh! So Bill’s got to come down the chimney, has he?” said Alice to herself. “Shy, they seem to put everything upon Bill! I wouldn’t be in Bill’s place for a good deal: this fireplace is narrow, to be sure; but I _think_ I can kick a little!”",48,242,house,INT,day,The Arrival of Bill,,5.0,,,,
127,127,4,"She drew her foot as far down the chimney as she could, and waited till she heard a little animal (she couldn’t guess of what sort it was) scratching and scrambling about in the chimney close above her: then, saying to herself “This is Bill,” she gave one sharp kick, and waited to see what would happen next.",58,309,house,INT,day,Alice's Defiance,"As the animals try various methods to rescue the Rabbit from the window, Alice kicks out towards Bill in the chimney, leading to chaotic voices and the animals speculating about what happened.",5.0,,,,
128,128,4,"The first thing she heard was a general chorus of “There goes Bill!” then the Rabbit’s voice along—“Catch him, you by the hedge!” then silence, and then another confusion of voices—“Hold up his head—Brandy now—Don’t choke him—How was it, old fellow? What happened to you? Tell us all about it!”",50,294,house,INT,day,Rabbit and other creatures attempt to rescue Bill,"The Rabbit and his companions are confused by Alice’s size and attempt to rescue their friend Bill, leading to chaos and humor in their actions as they misinterpret the situation.",6.0,,,,Climax
129,129,4,"Last came a little feeble, squeaking voice, (“That’s Bill,” thought Alice,) “Well, I hardly know—No more, thank ye; I’m better now—but I’m a deal too flustered to tell you—all I know is, something comes at me like a Jack-in-the-box, and up I goes like a sky-rocket!”",46,266,house,INT,day,Rabbit and other creatures attempt to rescue Bill,"The Rabbit and his companions are confused by Alice’s size and attempt to rescue their friend Bill, leading to chaos and humor in their actions as they misinterpret the situation.",6.0,Statement,Bill recounted his confusion after being kicked down the chimney.,Bill,Climax
130,130,4,"“So you did, old fellow!” said the others.",8,42,house,INT,day,,,,,,,
131,131,4,"“We must burn the house down!” said the Rabbit’s voice; and Alice called out as loud as she could, “If you do, I’ll set Dinah at you!”",27,134,house,INT,day,,,,,,,
132,132,4,"There was a dead silence instantly, and Alice thought to herself, “I wonder what they _will_ do next! If they had any sense, they’d take the roof off.” After a minute or two, they began moving about again, and Alice heard the Rabbit say, “A barrowful will do, to begin with.”",51,275,house,INT,day,,,,,,,
133,133,4,"“A barrowful of _what?_” thought Alice; but she had not long to doubt, for the next moment a shower of little pebbles came rattling in at the window, and some of them hit her in the face. “I’ll put a stop to this,” she said to herself, and shouted out, “You’d better not do that again!” which produced another dead silence.",61,323,house,INT,day,The Pebbles Turn to Cakes,"The Rabbit and others decide on a plan that involves throwing pebbles at Alice, which mysteriously start transforming into cakes as they land. Alice decides to eat one, thinking it will change her size.",6.0,,,,
134,134,4,"Alice noticed with some surprise that the pebbles were all turning into little cakes as they lay on the floor, and a bright idea came into her head. “If I eat one of these cakes,” she thought, “it’s sure to make _some_ change in my size; and as it can’t possibly make me larger, it must make me smaller, I suppose.”",61,315,house,INT,day,Alice eats a cake and shrinks,"Determined to change her size, Alice eats a cake and begins to shrink, allowing her to escape the uncomfortable situation inside the Rabbit's house.",7.0,Action,"Alice decided to eat a cake she found, believing it would help her shrink.",Alice,Resolution
135,135,4,"So she swallowed one of the cakes, and was delighted to find that she began shrinking directly. As soon as she was small enough to get through the door, she ran out of the house, and found quite a crowd of little animals and birds waiting outside. The poor little Lizard, Bill, was in the middle, being held up by two guinea-pigs, who were giving it something out of a bottle. They all made a rush at Alice the moment she appeared; but she ran off as hard as she could, and soon found herself safe in a thick wood.",100,514,forest,EXT,day,Alice eats a cake and shrinks,"Determined to change her size, Alice eats a cake and begins to shrink, allowing her to escape the uncomfortable situation inside the Rabbit's house.",7.0,Action,"After eating the cake, Alice successfully shrank and ran out of the house.",Alice,Resolution
136,136,4,"“The first thing I’ve got to do,” said Alice to herself, as she wandered about in the wood, “is to grow to my right size again; and the second thing is to find my way into that lovely garden. I think that will be the best plan.”",47,228,forest,EXT,day,,,,,,,
137,137,4,"It sounded an excellent plan, no doubt, and very neatly and simply arranged; the only difficulty was, that she had not the smallest idea how to set about it; and while she was peering about anxiously among the trees, a little sharp bark just over her head made her look up in a great hurry.",55,290,forest,EXT,day,,,,,,,
138,138,4,"An enormous puppy was looking down at her with large round eyes, and feebly stretching out one paw, trying to touch her. “Poor little thing!” said Alice, in a coaxing tone, and she tried hard to whistle to it; but she was terribly frightened all the time at the thought that it might be hungry, in which case it would be very likely to eat her up in spite of all her coaxing.",73,375,forest,EXT,day,Alice encounters the large puppy,"Alice meets a large puppy while in the woods and experiences both excitement and fear, highlighting her vulnerability in this strange new world.",5.0,,,,Setup
139,139,4,"Hardly knowing what she did, she picked up a little bit of stick, and held it out to the puppy; whereupon the puppy jumped into the air off all its feet at once, with a yelp of delight, and rushed at the stick, and made believe to worry it; then Alice dodged behind a great thistle, to keep herself from being run over; and the moment she appeared on the other side, the puppy made another rush at the stick, and tumbled head over heels in its hurry to get hold of it; then Alice, thinking it was very like having a game of play with a cart-horse, and expecting every moment to be trampled under its feet, ran round the thistle again; then the puppy began a series of short charges at the stick, running a very little way forwards each time and a long way back, and barking hoarsely all the while, till at last it sat down a good way off, panting, with its tongue hanging out of its mouth, and its great eyes half shut.",179,919,forest,EXT,day,Alice encounters the large puppy,"Alice meets a large puppy while in the woods and experiences both excitement and fear, highlighting her vulnerability in this strange new world.",5.0,,,,Setup
140,140,4,"This seemed to Alice a good opportunity for making her escape; so she set off at once, and ran till she was quite tired and out of breath, and till the puppy’s bark sounded quite faint in the distance.",39,201,forest,EXT,day,Alice encounters the large puppy,"Alice meets a large puppy while in the woods and experiences both excitement and fear, highlighting her vulnerability in this strange new world.",5.0,,,,Setup
141,141,4,"“And yet what a dear little puppy it was!” said Alice, as she leant against a buttercup to rest herself, and fanned herself with one of the leaves: “I should have liked teaching it tricks very much, if—if I’d only been the right size to do it! Oh dear! I’d nearly forgotten that I’ve got to grow up again! Let me see—how _is_ it to be managed? I suppose I ought to eat or drink something or other; but the great question is, what?”",84,431,forest,EXT,day,Alice contemplates her next steps,"After evading the puppy, Alice reflects on her situation and the need to grow to her right size again, showing her determination to understand her identity in Wonderland.",5.0,Action,Alice contemplated how to grow back to her proper size after escaping the puppy.,Alice,Setup
142,142,4,"The great question certainly was, what? Alice looked all round her at the flowers and the blades of grass, but she did not see anything that looked like the right thing to eat or drink under the circumstances. There was a large mushroom growing near her, about the same height as herself; and when she had looked under it, and on both sides of it, and behind it, it occurred to her that she might as well look and see what was on the top of it.",87,444,,,,Regaining Composure,,5.0,,,,
143,143,4,"She stretched herself up on tiptoe, and peeped over the edge of the mushroom, and her eyes immediately met those of a large blue caterpillar, that was sitting on the top with its arms folded, quietly smoking a long hookah, and taking not the smallest notice of her or of anything else.",52,285,,,,Alice discovers the Caterpillar,"Alice encounters a large blue caterpillar sitting on a mushroom, which signifies a critical point where she might receive guidance about her transformations.",6.0,Action,Alice discovered a large mushroom and looked to see what was on top.,Alice,Inciting Incident
144,144,5,CHAPTER V. Advice from a Caterpillar,6,36,,,,,,,,,,
145,145,5,"The Caterpillar and Alice looked at each other for some time in silence: at last the Caterpillar took the hookah out of its mouth, and addressed her in a languid, sleepy voice.",32,176,forest,EXT,day,Alice meets the Caterpillar,"Alice encounters a Caterpillar sitting on a mushroom, engaging in a perplexing conversation about her identity and recent changes. This interaction sets the tone for Alice's ongoing struggle with her identity in Wonderland.",6.0,Action,Alice looks at the Caterpillar in silence.,Alice,Setup
146,146,5,“Who are _you?_” said the Caterpillar.,6,38,forest,EXT,day,Caterpillar questions Alice's identity,"The Caterpillar challenges Alice to explain her identity. Alice expresses her confusion about changing sizes throughout the day, highlighting the theme of identity crisis and self-understanding.",7.0,Statement,The Caterpillar questions Alice about her identity.,Caterpillar,Inciting Incident
147,147,5,"This was not an encouraging opening for a conversation. Alice replied, rather shyly, “I—I hardly know, sir, just at present—at least I know who I _was_ when I got up this morning, but I think I must have been changed several times since then.”",44,243,forest,EXT,day,Caterpillar questions Alice's identity,"The Caterpillar challenges Alice to explain her identity. Alice expresses her confusion about changing sizes throughout the day, highlighting the theme of identity crisis and self-understanding.",7.0,Statement,Alice explains she doesn't quite know who she is anymore.,Alice,Inciting Incident
148,148,5,“What do you mean by that?” said the Caterpillar sternly. “Explain yourself!”,12,77,forest,EXT,day,Caterpillar questions Alice's identity,"The Caterpillar challenges Alice to explain her identity. Alice expresses her confusion about changing sizes throughout the day, highlighting the theme of identity crisis and self-understanding.",7.0,,,,Inciting Incident
149,149,5,"“I can’t explain _myself_, I’m afraid, sir,” said Alice, “because I’m not myself, you see.”",15,91,forest,EXT,day,Caterpillar questions Alice's identity,"The Caterpillar challenges Alice to explain her identity. Alice expresses her confusion about changing sizes throughout the day, highlighting the theme of identity crisis and self-understanding.",7.0,Statement,Alice admits she can't put her identity into clear words.,Alice,Inciting Incident
150,150,5,"“I don’t see,” said the Caterpillar.",6,36,forest,EXT,day,Caterpillar questions Alice's identity,"The Caterpillar challenges Alice to explain her identity. Alice expresses her confusion about changing sizes throughout the day, highlighting the theme of identity crisis and self-understanding.",7.0,,,,Inciting Incident
151,151,5,"“I’m afraid I can’t put it more clearly,” Alice replied very politely, “for I can’t understand it myself to begin with; and being so many different sizes in a day is very confusing.”",33,182,forest,EXT,day,Caterpillar questions Alice's identity,"The Caterpillar challenges Alice to explain her identity. Alice expresses her confusion about changing sizes throughout the day, highlighting the theme of identity crisis and self-understanding.",7.0,,,,Inciting Incident
152,152,5,"“It isn’t,” said the Caterpillar.",5,33,forest,EXT,day,Caterpillar questions Alice's identity,"The Caterpillar challenges Alice to explain her identity. Alice expresses her confusion about changing sizes throughout the day, highlighting the theme of identity crisis and self-understanding.",7.0,Statement,The Caterpillar claims not to see Alice's confusion.,Caterpillar,Inciting Incident
153,153,5,"“Well, perhaps you haven’t found it so yet,” said Alice; “but when you have to turn into a chrysalis—you will some day, you know—and then after that into a butterfly, I should think you’ll feel it a little queer, won’t you?”",41,224,forest,EXT,day,Caterpillar questions Alice's identity,"The Caterpillar challenges Alice to explain her identity. Alice expresses her confusion about changing sizes throughout the day, highlighting the theme of identity crisis and self-understanding.",7.0,,,,Inciting Incident
154,154,5,"“Not a bit,” said the Caterpillar.",6,34,forest,EXT,day,Caterpillar questions Alice's identity,"The Caterpillar challenges Alice to explain her identity. Alice expresses her confusion about changing sizes throughout the day, highlighting the theme of identity crisis and self-understanding.",7.0,,,,Inciting Incident
155,155,5,"“Well, perhaps your feelings may be different,” said Alice; “all I know is, it would feel very queer to _me_.”",20,110,forest,EXT,day,Caterpillar questions Alice's identity,"The Caterpillar challenges Alice to explain her identity. Alice expresses her confusion about changing sizes throughout the day, highlighting the theme of identity crisis and self-understanding.",7.0,,,,Inciting Incident
156,156,5,“You!” said the Caterpillar contemptuously. “Who are _you?_”,8,60,forest,EXT,day,Alice meets the Caterpillar,"Alice encounters a Caterpillar sitting on a mushroom, engaging in a perplexing conversation about her identity and recent changes. This interaction sets the tone for Alice's ongoing struggle with her identity in Wonderland.",6.0,,,,Setup
157,157,5,"Which brought them back again to the beginning of the conversation. Alice felt a little irritated at the Caterpillar’s making such _very_ short remarks, and she drew herself up and said, very gravely, “I think, you ought to tell me who _you_ are, first.”",44,254,forest,EXT,day,Alice meets the Caterpillar,"Alice encounters a Caterpillar sitting on a mushroom, engaging in a perplexing conversation about her identity and recent changes. This interaction sets the tone for Alice's ongoing struggle with her identity in Wonderland.",6.0,,,,Setup
158,158,5,“Why?” said the Caterpillar.,4,28,forest,EXT,day,Alice meets the Caterpillar,"Alice encounters a Caterpillar sitting on a mushroom, engaging in a perplexing conversation about her identity and recent changes. This interaction sets the tone for Alice's ongoing struggle with her identity in Wonderland.",6.0,,,,Setup
159,159,5,"Here was another puzzling question; and as Alice could not think of any good reason, and as the Caterpillar seemed to be in a _very_ unpleasant state of mind, she turned away.",32,175,forest,EXT,day,Alice meets the Caterpillar,"Alice encounters a Caterpillar sitting on a mushroom, engaging in a perplexing conversation about her identity and recent changes. This interaction sets the tone for Alice's ongoing struggle with her identity in Wonderland.",6.0,,,,Setup
160,160,5,“Come back!” the Caterpillar called after her. “I’ve something important to say!”,12,81,forest,EXT,day,Alice meets the Caterpillar,"Alice encounters a Caterpillar sitting on a mushroom, engaging in a perplexing conversation about her identity and recent changes. This interaction sets the tone for Alice's ongoing struggle with her identity in Wonderland.",6.0,,,,Setup
161,161,5,"This sounded promising, certainly: Alice turned and came back again.",10,68,forest,EXT,day,,,,,,,
162,162,5,"“Keep your temper,” said the Caterpillar.",6,41,forest,EXT,day,,,,,,,
163,163,5,"“Is that all?” said Alice, swallowing down her anger as well as she could.",14,74,forest,EXT,day,,,,,,,
164,164,5,"“No,” said the Caterpillar.",4,27,forest,EXT,day,,,,,,,
165,165,5,"Alice thought she might as well wait, as she had nothing else to do, and perhaps after all it might tell her something worth hearing. For some minutes it puffed away without speaking, but at last it unfolded its arms, took the hookah out of its mouth again, and said, “So you think you’re changed, do you?”",57,306,forest,EXT,day,,,,,,,
166,166,5,"“I’m afraid I am, sir,” said Alice; “I can’t remember things as I used—and I don’t keep the same size for ten minutes together!”",24,128,forest,EXT,day,,,,,,,
167,167,5,“Can’t remember _what_ things?” said the Caterpillar.,7,53,forest,EXT,day,,,,,,,
168,168,5,"“Well, I’ve tried to say “How doth the little busy bee,” but it all came different!” Alice replied in a very melancholy voice.",23,126,forest,EXT,day,,,,Statement,The Caterpillar prompts Alice to recite a poem.,Caterpillar,
169,169,5,"“Repeat, “_You are old, Father William_,’” said the Caterpillar.",9,64,forest,EXT,day,"Recitation of 'You are old, Father William'","Alice tries to recite a poem but realizes she has forgotten the words. The Caterpillar prompts her to repeat a poem, demonstrating the theme of memory and the struggle of maintaining one's identity amid change.",5.0,,,,Turning Point
170,170,5,"Alice folded her hands, and began:—",6,35,forest,EXT,day,"Recitation of 'You are old, Father William'","Alice tries to recite a poem but realizes she has forgotten the words. The Caterpillar prompts her to repeat a poem, demonstrating the theme of memory and the struggle of maintaining one's identity amid change.",5.0,,,,Turning Point
171,171,5,"“You are old, Father William,” the young man said,     “And your hair has become very white; And yet you incessantly stand on your head—     Do you think, at your age, it is right?”",41,181,forest,EXT,day,"Recitation of 'You are old, Father William'","Alice tries to recite a poem but realizes she has forgotten the words. The Caterpillar prompts her to repeat a poem, demonstrating the theme of memory and the struggle of maintaining one's identity amid change.",5.0,,,,Turning Point
172,172,5,"“In my youth,” Father William replied to his son,     “I feared it might injure the brain; But, now that I’m perfectly sure I have none,     Why, I do it again and again.”",40,171,forest,EXT,day,"Recitation of 'You are old, Father William'","Alice tries to recite a poem but realizes she has forgotten the words. The Caterpillar prompts her to repeat a poem, demonstrating the theme of memory and the struggle of maintaining one's identity amid change.",5.0,,,,Turning Point
173,173,5,"“You are old,” said the youth, “as I mentioned before,     And have grown most uncommonly fat; Yet you turned a back-somersault in at the door—     Pray, what is the reason of that?”",40,182,forest,EXT,day,"Recitation of 'You are old, Father William'","Alice tries to recite a poem but realizes she has forgotten the words. The Caterpillar prompts her to repeat a poem, demonstrating the theme of memory and the struggle of maintaining one's identity amid change.",5.0,,,,Turning Point
174,174,5,"“In my youth,” said the sage, as he shook his grey locks,     “I kept all my limbs very supple By the use of this ointment—one shilling the box—     Allow me to sell you a couple?”",43,180,forest,EXT,day,"Recitation of 'You are old, Father William'","Alice tries to recite a poem but realizes she has forgotten the words. The Caterpillar prompts her to repeat a poem, demonstrating the theme of memory and the struggle of maintaining one's identity amid change.",5.0,,,,Turning Point
175,175,5,"“You are old,” said the youth, “and your jaws are too weak     For anything tougher than suet; Yet you finished the goose, with the bones and the beak—     Pray, how did you manage to do it?”",44,191,forest,EXT,day,"Recitation of 'You are old, Father William'","Alice tries to recite a poem but realizes she has forgotten the words. The Caterpillar prompts her to repeat a poem, demonstrating the theme of memory and the struggle of maintaining one's identity amid change.",5.0,,,,Turning Point
176,176,5,"“In my youth,” said his father, “I took to the law,     And argued each case with my wife; And the muscular strength, which it gave to my jaw,     Has lasted the rest of my life.”",43,179,forest,EXT,day,"Recitation of 'You are old, Father William'","Alice tries to recite a poem but realizes she has forgotten the words. The Caterpillar prompts her to repeat a poem, demonstrating the theme of memory and the struggle of maintaining one's identity amid change.",5.0,,,,Turning Point
