,Index,Chapter,Content,Event,ESummary,EImportance,ERole,CTag,CText,Character,Location,LocationType,Time,SentimentScore,SentimentMagnitude
179,179,2,"When he had been younger, Harry had dreamed and dreamed of some unknown relation coming to take him away, but it had never happened; the Dursleys were his only family. Yet sometimes he thought (or maybe hoped) that strangers in the street seemed to know him. Very strange strangers they were, too. A tiny man in a violet top hat had bowed to him once while out shopping with Aunt Petunia and Dudley. After asking Harry furiously if he knew the man, Aunt Petunia had rushed them out of the shop without buying anything. A wild-looking old woman dressed all in green had waved merrily at him once on a bus. A bald man in a very long purple coat had actually shaken his hand in the street the other day and then walked away without a word. The weirdest thing about all these people was the way they seemed to vanish the second Harry tried to get a closer look.",Harry faces Uncle Vernon's anger,"After the incident at the zoo, Harry is punished by Uncle Vernon, emphasizing the Dursleys' harsh treatment and increasing Harry's sense of isolation.",6.0,Resolution,,,,house,INT,night,-0.5,['maagnitude']
180,180,3,"At school, Harry had no one. Everybody knew that Dudley's gang hated that odd Harry Potter in his baggy old clothes and broken glasses, and nobody liked to disagree with Dudley's gang. THE LETTERS FROM NO ONE",Harry's solitary school experience,"Harry reflects on his time at school where he had no friends and was constantly bullied by Dudley's gang, emphasizing his isolation and the sense of impending change as he anticipates starting secondary school.",6.0,Setup,Statement,Harry had no friends at school and was bullied by Dudley's gang.,Harry Potter,school,EXT,day,-0.30000001192092896,['maagnitude']
181,181,3,"The escape of the Brazilian boa constrictor earned Harry his longest-ever punishment. By the time he was allowed out of his cupboard again, the summer holidays had started and Dudley had already broken his new video camera, crashed his remote control airplane, and, first time out on his racing bike, knocked down old Mrs. Figg as she crossed Privet Drive on her crutches.",Harry's solitary school experience,"Harry reflects on his time at school where he had no friends and was constantly bullied by Dudley's gang, emphasizing his isolation and the sense of impending change as he anticipates starting secondary school.",6.0,Setup,,,,,,,-0.4000000059604645,['maagnitude']
182,182,3,"Harry was glad school was over, but there was no escaping Dudley's gang, who visited the house every single day. Piers, Dennis, Malcolm, and Gordon were all big and stupid, but as Dudley was the biggest and stupidest of the lot, he was the leader. The rest of them were all quite happy to join in Dudley's favorite sport: Harry Hunting. This was why Harry spent as much time as possible out of the house, wandering around and thinking about the end of the holidays, where he could see a tiny ray of hope. When September came he would be going off to secondary school and, for the first time in his life, he wouldn't be with Dudley. Dudley had been accepted at Uncle Vernon's old private school, Smeltings. Piers Polkiss was going there too. Harry, on the other hand, was going to Stonewall High, the local public school. Dudley thought this was very funny.",Harry's solitary school experience,"Harry reflects on his time at school where he had no friends and was constantly bullied by Dudley's gang, emphasizing his isolation and the sense of impending change as he anticipates starting secondary school.",6.0,Setup,Action,Aunt Petunia shows favoritism towards Dudley.,Aunt Petunia Dursley,,,,0.0,['maagnitude']
183,183,3,"'They stuff people's heads down the toilet the first day at Stonewall,' he told Harry. 'Want to come upstairs and practice?'",,,,,Statement,Uncle Vernon favors Dudley and is stern towards Harry.,Uncle Vernon Dursley,,,,-0.20000000298023224,['maagnitude']
184,184,3,"'No, thanks,' said Harry. 'The poor toilet's never had anything as horrible as your head down it -- it might be sick.' Then he ran, before Dudley could work out what he'd said.",,,,,Statement,Harry responded sarcastically to Dudley's taunts about his new school.,Harry Potter,,,,-0.5,['maagnitude']
185,185,3,"One day in July, Aunt Petunia took Dudley to London to buy his Smeltings uniform, leaving Harry at Mrs. Figg's. Mrs. Figg wasn 't as bad as usual. It turned out she'd broken her leg tripping over one of her cats, and she didn't seem quite as fond of them as before. She let Harry watch television and gave him a bit of chocolate cake that tasted as though she'd had it for several years.",,,,,,,,,,,-0.20000000298023224,['maagnitude']
186,186,3,"That evening, Dudley paraded around the living room for the family in his brand-new uniform. Smeltings' boys wore maroon tailcoats, orange knickerbockers, and flat straw hats called boaters. They also carried knobbly sticks, used for hitting each other while the teachers weren't looking. This was supposed to be good training for later life.",Dudley's new uniform,"Dudley shows off his new Smeltings uniform, and the Dursleys celebrate this moment. Harry internally struggles with feeling out of place and unimportant in contrast to Dudley's attention.",5.0,Setup,Action,Dudley shows off his new school uniform to the family.,Dudley Dursley,house,INT,day,0.0,['maagnitude']
187,187,3,"As he looked at Dudley in his new knickerbockers, Uncle Vernon said gruffly that it was the proudest moment of his life. Aunt Petunia burst into tears and said she couldn't believe it was her Ickle Dudleykins, he looked so handsome and grown-up. Harry didn't trust himself to speak. He thought two of his ribs might already have cracked from trying not to laugh.",Dudley's new uniform,"Dudley shows off his new Smeltings uniform, and the Dursleys celebrate this moment. Harry internally struggles with feeling out of place and unimportant in contrast to Dudley's attention.",5.0,Setup,,,,,,,0.0,['maagnitude']
188,188,3,There was a horrible smell in the kitchen the next morning when Harry went in for breakfast. It seemed to be coming from a large metal tub in the sink. He went to have a look. The tub was full of what looked like dirty rags swimming in gray water. 'What's this?' he asked Aunt Petunia. Her lips tightened as they always did if he dared to ask a question.,,,,,Action,Aunt Petunia tightens her lips whenever Harry asks questions.,Aunt Petunia Dursley,house,INT,day,-0.30000001192092896,['maagnitude']
189,189,3,"'Your new school uniform,' she said.",,,,,,,,house,INT,day,0.0,['maagnitude']
190,190,3,"Harry looked in the bowl again. 'Oh,' he said, 'I didn't realize it had to be so wet.' 'DotA be stupid,' snapped Aunt Petunia. 'I'm dyeing some of Dudley's old things gray for you. It'll look just like everyone else's when I've finished.'",,,,,,,,house,INT,day,-0.30000001192092896,['maagnitude']
191,191,3,"Harry seriously doubted this, but thought it best not to argue. He sat down at the table and tried not to think about how he was going to look on his first day at Stonewall High -- like he was wearing bits of old elephant skin, probably.",,,,,Action,"Neville tries to stop Harry from leaving, showing courage.",Neville Longbottom,house,INT,day,-0.5,['maagnitude']
192,192,3,"Dudley and Uncle Vernon came in, both with wrinkled noses because of the smell from Harry's new uniform. Uncle Vernon opened his newspaper as usual and Dudley banged his Smelting stick, which he carried everywhere, on the table.",,,,,Action,Dudley reacts negatively to Harry's new uniform.,Dudley Dursley,house,INT,day,-0.20000000298023224,['maagnitude']
193,193,3,They heard the click of the mail slot and flop of letters on the doormat.,,,,,,,,house,INT,day,-0.6000000238418579,['maagnitude']
194,194,3,"'Get the mail, Dudley,' said Uncle Vernon from behind his paper.",,,,,,,,house,INT,day,-0.30000001192092896,['maagnitude']
195,195,3,'Make Harry get it.',,,,,,,,house,INT,day,0.0,['maagnitude']
196,196,3,"'Get the mail, Harry.'",,,,,,,,house,INT,day,-0.10000000149011612,['maagnitude']
197,197,3,"'Make Dudley get it.' 'Poke him with your Smelting stick, Dudley.'",,,,,,,,house,INT,day,0.0,['maagnitude']
198,198,3,"Harry dodged the Smelting stick and went to get the mail. Three things lay on the doormat: a postcard from Uncle Vernon's sister Marge, who was vacationing on the Isle of Wight, a brown envelope that looked like a bill, and -- a letter for Harry.",Letter arrival,"Harry finds a mysterious letter addressed to him for the first time in his life, sparking intrigue and showing that there may be more to his identity than he has realized.",7.0,Inciting Incident,,,,house,INT,day,-0.10000000149011612,['maagnitude']
199,199,3,"Harry picked it up and stared at it, his heart twanging like a giant elastic band. No one, ever, in his whole life, had written to him. Who would? He had no friends, no other relatives -- he didn't belong to the library, so he'd never even got rude notes asking for books back. Yet here it was, a letter, addressed so plainly there could be no mistake:",Letter arrival,"Harry finds a mysterious letter addressed to him for the first time in his life, sparking intrigue and showing that there may be more to his identity than he has realized.",7.0,Inciting Incident,,,,,,,-0.10000000149011612,['maagnitude']
200,200,3,Mr. H. Potter,Letter arrival,"Harry finds a mysterious letter addressed to him for the first time in his life, sparking intrigue and showing that there may be more to his identity than he has realized.",7.0,Inciting Incident,,,,,,,0.10000000149011612,['maagnitude']
201,201,3,The Cupboard under the Stairs,Letter arrival,"Harry finds a mysterious letter addressed to him for the first time in his life, sparking intrigue and showing that there may be more to his identity than he has realized.",7.0,Inciting Incident,,,,,,,0.0,['maagnitude']
202,202,3,4 Privet Drive,Letter arrival,"Harry finds a mysterious letter addressed to him for the first time in his life, sparking intrigue and showing that there may be more to his identity than he has realized.",7.0,Inciting Incident,,,,,,,0.30000001192092896,['maagnitude']
203,203,3,Little Whinging,Letter arrival,"Harry finds a mysterious letter addressed to him for the first time in his life, sparking intrigue and showing that there may be more to his identity than he has realized.",7.0,Inciting Incident,,,,,,,0.30000001192092896,['maagnitude']
204,204,3,"Surrey The envelope was thick and heavy, made of yellowish parchment, and the address was written in emerald-green ink. There was no stamp. Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger, and a snake surrounding a large letter H.",Letter arrival,"Harry finds a mysterious letter addressed to him for the first time in his life, sparking intrigue and showing that there may be more to his identity than he has realized.",7.0,Inciting Incident,,,,,,,-0.4000000059604645,['maagnitude']
205,205,3,"'Hurry up, boy!' shouted Uncle Vernon from the kitchen. 'What are you doing, checking for letter bombs?' He chuckled at his own joke.",,,,,Action,Uncle Vernon jokes about Harry's curiosity over letters.,Uncle Vernon Dursley,house,INT,day,-0.20000000298023224,['maagnitude']
206,206,3,"Harry went back to the kitchen, still staring at his letter. He handed Uncle Vernon the bill and the postcard, sat down, and slowly began to open the yellow envelope.",,,,,,,,house,INT,day,-0.4000000059604645,['maagnitude']
207,207,3,"Uncle Vernon ripped open the bill, snorted in disgust, and flipped over the postcard.",,,,,Action,Harry tried to open the letter addressed to him.,Harry Potter,house,INT,day,-0.800000011920929,['maagnitude']
208,208,3,"'Marge's ill,' he informed Aunt Petunia. 'Ate a funny whelk. --.'",,,,,,,,,,,0.10000000149011612,['maagnitude']
209,209,3,"'Dad!' said Dudley suddenly. 'Dad, Harry's got something!'",,,,,,,,,,,0.0,['maagnitude']
210,210,3,"Harry was on the point of unfolding his letter, which was written on the same heavy parchment as the envelope, when it was jerked sharply out of his hand by Uncle Vernon. 'That's mine!' said Harry, trying to snatch it back.",,,,,Statement,"Snape appeared unexpectedly while Harry, Ron, and Hermione were plotting.",Severus Snape,,,,-0.20000000298023224,['maagnitude']
211,211,3,"'Who'd be writing to you?' sneered Uncle Vernon, shaking the letter open with one hand and glancing at it. His face went from red to green faster than a set of traffic lights. And it didn't stop there. Within seconds it was the grayish white of old porridge. 'P-P-Petunia!' he gasped.",Uncle Vernon reacts to the letter,"Uncle Vernon becomes increasingly agitated after reading Harry's letter and quickly becomes secretive, showcasing his fear of Harry's true nature and setting the stage for conflict.",6.0,Turning Point,Action,Uncle Vernon reacts with anger upon discovering Harry's letter.,Uncle Vernon Dursley,,,,0.0,['maagnitude']
212,212,3,"Dudley tried to grab the letter to read it, but Uncle Vernon held it high out of his reach. Aunt Petunia took it curiously and read the first line. For a moment it looked as though she might faint. She clutched her throat and made a choking noise.",Uncle Vernon reacts to the letter,"Uncle Vernon becomes increasingly agitated after reading Harry's letter and quickly becomes secretive, showcasing his fear of Harry's true nature and setting the stage for conflict.",6.0,Turning Point,Action,Aunt Petunia expresses shock upon reading Harry's letter.,Aunt Petunia Dursley,,,,-0.4000000059604645,['maagnitude']
213,213,3,"'Vernon! Oh my goodness -- Vernon!' They stared at each other, seeming to have forgotten that Harry and Dudley were still in the room. Dudley wasn't used to being ignored. He gave his father a sharp tap on the head with his Smelting stick.",Uncle Vernon reacts to the letter,"Uncle Vernon becomes increasingly agitated after reading Harry's letter and quickly becomes secretive, showcasing his fear of Harry's true nature and setting the stage for conflict.",6.0,Turning Point,,,,,,,-0.10000000149011612,['maagnitude']
214,214,3,"'I want to read that letter,' he said loudly. want to read it,' said Harry furiously, 'as it's mine.'",Uncle Vernon reacts to the letter,"Uncle Vernon becomes increasingly agitated after reading Harry's letter and quickly becomes secretive, showcasing his fear of Harry's true nature and setting the stage for conflict.",6.0,Turning Point,,,,,,,0.0,['maagnitude']
215,215,3,"'Get out, both of you,' croaked Uncle Vernon, stuffing the letter back inside its envelope.",Uncle Vernon reacts to the letter,"Uncle Vernon becomes increasingly agitated after reading Harry's letter and quickly becomes secretive, showcasing his fear of Harry's true nature and setting the stage for conflict.",6.0,Turning Point,,,,,,,-0.20000000298023224,['maagnitude']
216,216,3,Harry didn't move.,Uncle Vernon reacts to the letter,"Uncle Vernon becomes increasingly agitated after reading Harry's letter and quickly becomes secretive, showcasing his fear of Harry's true nature and setting the stage for conflict.",6.0,Turning Point,,,,,,,-0.699999988079071,['maagnitude']
217,217,3,I WANT MY LETTER!' he shouted.,,,,,,,,,,,-0.4000000059604645,['maagnitude']
218,218,3,'Let me see it!' demanded Dudley.,,,,,,,,,,,0.0,['maagnitude']
219,219,3,"'OUT!' roared Uncle Vernon, and he took both Harry and Dudley by the scruffs of their necks and threw them into the hall, slamming the kitchen door behind them. Harry and Dudley promptly had a furious but silent fight over who would listen at the keyhole; Dudley won, so Harry, his glasses dangling from one ear, lay flat on his stomach to listen at the crack between door and floor.",,,,,,,,,,,-0.20000000298023224,['maagnitude']
220,220,3,"'Vernon,' Aunt Petunia was saying in a quivering voice, 'look at the address -- how could they possibly know where he sleeps? You don't think they're watching the house?' 'Watching -- spying -- might be following us,' muttered Uncle Vernon wildly.",,,,,,,,,,,-0.6000000238418579,['maagnitude']
221,221,3,"'But what should we do, Vernon? Should we write back? Tell them we don't want --'",,,,,,,,,,,-0.30000001192092896,['maagnitude']
222,222,3,Harry could see Uncle Vernon's shiny black shoes pacing up and down the kitchen.,,,,,,,,,,,-0.30000001192092896,['maagnitude']
223,223,3,"'No,' he said finally. 'No, we'll ignore it. If they don't get an answer... Yes, that's best... we won't do anything....",,,,,,,,,,,-0.5,['maagnitude']
224,224,3,'But --',,,,,Statement,McGonagall assures Harry that the Stone is well protected.,Professor McGonagall,,,,-0.10000000149011612,['maagnitude']
225,225,3,"'I'm not having one in the house, Petunia! Didn't we swear when we took him in we'd stamp out that dangerous nonsense?'",,,,,,,,,,,-0.5,['maagnitude']
226,226,3,"That evening when he got back from work, Uncle Vernon did something he'd never done before; he visited Harry in his cupboard.",,,,,,,,,,,0.4000000059604645,['maagnitude']
227,227,3,"'Where's my letter?' said Harry, the moment Uncle Vernon had squeezed through the door. 'Who's writing to me?'",,,,,Action,Harry plays Hagrid's flute to put Fluffy to sleep.,Harry Potter,,,,-0.30000001192092896,['maagnitude']
228,228,3,"'No one. it was addressed to you by mistake,' said Uncle Vernon shortly. 'I have burned it.'",,,,,,,,,,,-0.5,['maagnitude']
229,229,3,"'It was not a mistake,' said Harry angrily, 'it had my cupboard on it.' 'SILENCE!' yelled Uncle Vernon, and a couple of spiders fell from the ceiling. He took a few deep breaths and then forced his face into a smile, which looked quite painful.",,,,,,,,,,,-0.20000000298023224,['maagnitude']
230,230,3,"'Er -- yes, Harry -- about this cupboard. Your aunt and I have been thinking... you're really getting a bit big for it... we think it might be nice if you moved into Dudley's second bedroom.",,,,,,,,,,,0.0,['maagnitude']
231,231,3,'Why?' said Harry.,,,,,,,,,,,0.0,['maagnitude']
232,232,3,"'Don't ask questions!' snapped his uncle. 'Take this stuff upstairs, now.'",,,,,,,,,,,-0.30000001192092896,['maagnitude']
233,233,3,"The Dursleys' house had four bedrooms: one for Uncle Vernon and Aunt Petunia, one for visitors (usually Uncle Vernon's sister, Marge), one where Dudley slept, and one where Dudley kept all the toys and things that wouldn't fit into his first bedroom. It only took Harry one trip upstairs to move everything he owned from the cupboard to this room. He sat down on the bed and stared around him. Nearly everything in here was broken. The month-old video camera was lying on top of a small, working tank Dudley had once driven over the next door neighbor's dog; in the corner was Dudley's first-ever television set, which he'd put his foot through when his favorite program had been canceled; there was a large birdcage, which had once held a parrot that Dudley had swapped at school for a real air rifle, which was up on a shelf with the end all bent because Dudley had sat on it. Other shelves were full of books. They were the only things in the room that looked as though they'd never been touched.",,,,,,,,,,,-0.30000001192092896,['maagnitude']
234,234,3,"From downstairs came the sound of Dudley bawling at his mother, I don't want him in there... I need that room... make him get out....'",,,,,,,,,,,-0.5,['maagnitude']
235,235,3,Harry sighed and stretched out on the bed. Yesterday he'd have given anything to be up here. Today he'd rather be back in his cupboard with that letter than up here without it.,,,,,,,,,,,-0.30000001192092896,['maagnitude']
236,236,3,"Next morning at breakfast, everyone was rather quiet. Dudley was in shock. He'd screamed, whacked his father with his Smelting stick, been sick on purpose, kicked his mother, and thrown his tortoise through the greenhouse roof, and he still didn't have his room back. Harry was thinking about this time yesterday and bitterly wishing he'd opened the letter in the hall. Uncle Vernon and Aunt Petunia kept looking at each other darkly.",,,,,Action,Aunt Petunia appears worried about Uncle Vernon's behavior.,Aunt Petunia Dursley,,,,-0.30000001192092896,['maagnitude']
237,237,3,"When the mail arrived, Uncle Vernon, who seemed to be trying to be nice to Harry, made Dudley go and get it. They heard him banging things with his Smelting stick all the way down the hall. Then he shouted, 'There's another one! 'Mr. H. Potter, The Smallest Bedroom, 4 Privet Drive --''",,,,,,,,,,,0.0,['maagnitude']
238,238,3,"With a strangled cry, Uncle Vernon leapt from his seat and ran down the hall, Harry right behind him. Uncle Vernon had to wrestle Dudley to the ground to get the letter from him, which was made difficult by the fact that Harry had grabbed Uncle Vernon around the neck from behind. After a minute of confused fighting, in which everyone got hit a lot by the Smelting stick, Uncle Vernon straightened up, gasping for breath, with Harry's letter clutched in his hand.",,,,,,,,,,,-0.4000000059604645,['maagnitude']
239,239,3,"'Go to your cupboard -- I mean, your bedroom,' he wheezed at Harry. 'Dudley -- go -- just go.'",,,,,,,,,,,0.0,['maagnitude']
240,240,3,Harry walked round and round his new room. Someone knew he had moved out of his cupboard and they seemed to know he hadn't received his first letter. Surely that meant they'd try again? And this time he'd make sure they didn't fail. He had a plan.,,,,,Action,Uncle Vernon boards up the mail slot to stop the letters.,Uncle Vernon Dursley,house,INT,night,-0.20000000298023224,['maagnitude']
241,241,3,The repaired alarm clock rang at six o'clock the next morning. Harry turned it off quickly and dressed silently. He mustn't wake the Dursleys. He stole downstairs without turning on any of the lights.,,,,,,,,,,,-0.5,['maagnitude']
242,242,3,He was going to wait for the postman on the corner of Privet Drive and get the letters for number four first. His heart hammered as he crept across the dark hall toward the front door --,,,,,,,,,,,-0.10000000149011612,['maagnitude']
243,243,3,Harry leapt into the air; he'd trodden on something big and squashy on the doormat -- something alive!,,,,,,,,,,,0.6000000238418579,['maagnitude']
244,244,3,"Lights clicked on upstairs and to his horror Harry realized that the big, squashy something had been his uncle's face. Uncle Vernon had been lying at the foot of the front door in a sleeping bag, clearly making sure that Harry didn't do exactly what he'd been trying to do. He shouted at Harry for about half an hour and then told him to go and make a cup of tea. Harry shuffled miserably off into the kitchen and by the time he got back, the mail had arrived, right into Uncle Vernon's lap. Harry could see three letters addressed in green ink.",,,,,,,,,,,-0.4000000059604645,['maagnitude']
245,245,3,"I want --' he began, but Uncle Vernon was tearing the letters into pieces before his eyes. Uncle Vernon didnt go to work that day. He stayed at home and nailed up the mail slot.",Uncle Vernon's desperate attempts to escape the letters,"Uncle Vernon goes to extreme lengths to prevent Harry from receiving any more letters, boarding up mail slots and attempting to hide from the outside world.",6.0,Turning Point,,,,,,,-0.4000000059604645,['maagnitude']
246,246,3,"'See,' he explained to Aunt Petunia through a mouthful of nails, 'if they can't deliver them they'll just give up.'",Uncle Vernon's desperate attempts to escape the letters,"Uncle Vernon goes to extreme lengths to prevent Harry from receiving any more letters, boarding up mail slots and attempting to hide from the outside world.",6.0,Turning Point,,,,,,,-0.4000000059604645,['maagnitude']
247,247,3,"'I'm not sure that'll work, Vernon.'",Uncle Vernon's desperate attempts to escape the letters,"Uncle Vernon goes to extreme lengths to prevent Harry from receiving any more letters, boarding up mail slots and attempting to hide from the outside world.",6.0,Turning Point,,,,,,,-0.30000001192092896,['maagnitude']
248,248,3,"'Oh, these people's minds work in strange ways, Petunia, they're not like you and me,' said Uncle Vernon, trying to knock in a nail with the piece of fruitcake Aunt Petunia had just brought him.",Uncle Vernon's desperate attempts to escape the letters,"Uncle Vernon goes to extreme lengths to prevent Harry from receiving any more letters, boarding up mail slots and attempting to hide from the outside world.",6.0,Turning Point,,,,,,,-0.699999988079071,['maagnitude']
249,249,3,"On Friday, no less than twelve letters arrived for Harry. As they couldn't go through the mail slot they had been pushed under the door, slotted through the sides, and a few even forced through the small window in the downstairs bathroom.",Uncle Vernon's desperate attempts to escape the letters,"Uncle Vernon goes to extreme lengths to prevent Harry from receiving any more letters, boarding up mail slots and attempting to hide from the outside world.",6.0,Turning Point,,,,,,,-0.5,['maagnitude']
250,250,3,"Uncle Vernon stayed at home again. After burning all the letters, he got out a hammer and nails and boarded up the cracks around the front and back doors so no one could go out. He hummed 'Tiptoe Through the Tulips' as he worked, and jumped at small noises. On Saturday, things began to get out of hand. Twenty-four letters to Harry found their way into the house, rolled up and hidden inside each of the two dozen eggs that their very confused milkman had handed Aunt Petunia through the living room window. While Uncle Vernon made furious telephone calls to the post office and the dairy trying to find someone to complain to, Aunt Petunia shredded the letters in her food processor.",Uncle Vernon's desperate attempts to escape the letters,"Uncle Vernon goes to extreme lengths to prevent Harry from receiving any more letters, boarding up mail slots and attempting to hide from the outside world.",6.0,Turning Point,,,,,,,-0.20000000298023224,['maagnitude']
251,251,3,'Who on earth wants to talk to you this badly?' Dudley asked Harry in amazement.,,,,,,,,,,,-0.10000000149011612,['maagnitude']
252,252,3,"On Sunday morning, Uncle Vernon sat down at the breakfast table looking tired and rather ill, but happy.",,,,,,,,,,,0.30000001192092896,['maagnitude']
253,253,3,"'No post on Sundays,' he reminded them cheerfully as he spread marmalade on his newspapers, 'no damn letters today --'",,,,,,,,,,,-0.30000001192092896,['maagnitude']
254,254,3,"Something came whizzing down the kitchen chimney as he spoke and caught him sharply on the back of the head. Next moment, thirty or forty letters came pelting out of the fireplace like bullets. The Dursleys ducked, but Harry leapt into the air trying to catch one.",,,,,,,,,,,-0.30000001192092896,['maagnitude']
255,255,3,"'Out! OUT!' Uncle Vernon seized Harry around the waist and threw him into the hall. When Aunt Petunia and Dudley had run out with their arms over their faces, Uncle Vernon slammed the door shut. They could hear the letters still streaming into the room, bouncing off the walls and floor.",,,,,,,,,,,-0.4000000059604645,['maagnitude']
256,256,3,"'That does it,' said Uncle Vernon, trying to speak calmly but pulling great tufts out of his mustache at the same time. I want you all back here in five minutes ready to leave. We're going away. Just pack some clothes. No arguments!'",Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,Action,Uncle Vernon decides to take the family away to avoid the letters.,Uncle Vernon Dursley,car,INT,night,-0.10000000149011612,['maagnitude']
257,257,3,"He looked so dangerous with half his mustache missing that no one dared argue. Ten minutes later they had wrenched their way through the boarded-up doors and were in the car, speeding toward the highway. Dudley was sniffling in the back seat; his father had hit him round the head for holding them up while he tried to pack his television, VCR, and computer in his sports bag.",Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,car,INT,night,-0.699999988079071,['maagnitude']
258,258,3,"They drove. And they drove. Even Aunt Petunia didn't dare ask where they were going. Every now and then Uncle Vernon would take a sharp turn and drive in the opposite direction for a while. 'Shake'em off... shake 'em off,' he would mutter whenever he did this.",Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,car,INT,night,-0.30000001192092896,['maagnitude']
259,259,3,"They didn't stop to eat or drink all day. By nightfall Dudley was howling. He'd never had such a bad day in his life. He was hungry, he'd missed five television programs he'd wanted to see, and he'd never gone so long without blowing up an alien on his computer.",Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,car,INT,night,-0.4000000059604645,['maagnitude']
260,260,3,"Uncle Vernon stopped at last outside a gloomy-looking hotel on the outskirts of a big city. Dudley and Harry shared a room with twin beds and damp, musty sheets. Dudley snored but Harry stayed awake, sitting on the windowsill, staring down at the lights of passing cars and wondering.... They ate stale cornflakes and cold tinned tomatoes on toast for breakfast the next day. They had just finished when the owner of the hotel came over to their table.",Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,hotel,INT,night,-0.20000000298023224,['maagnitude']
261,261,3,"''Scuse me, but is one of you Mr. H. Potter? Only I got about an 'undred of these at the front desk.'",Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,hotel,INT,night,-0.20000000298023224,['maagnitude']
262,262,3,She held up a letter so they could read the green ink address:,Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,hotel,INT,night,0.0,['maagnitude']
263,263,3,Mr. H. Potter Room 17,Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,hotel,INT,night,0.0,['maagnitude']
264,264,3,Railview Hotel,Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,hotel,INT,night,0.30000001192092896,['maagnitude']
265,265,3,Cokeworth,Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,hotel,INT,night,0.30000001192092896,['maagnitude']
266,266,3,Harry made a grab for the letter but Uncle Vernon knocked his hand out of the way. The woman stared.,Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,hotel,INT,night,-0.20000000298023224,['maagnitude']
267,267,3,"'I'll take them,' said Uncle Vernon, standing up quickly and following her from the dining room.",Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,car,INT,night,0.0,['maagnitude']
268,268,3,"Wouldn't it be better just to go home, dear?' Aunt Petunia suggested timidly, hours later, but Uncle Vernon didn't seem to hear her. Exactly what he was looking for, none of them knew. He drove them into the middle of a forest, got out, looked around, shook his head, got back in the car, and off they went again. The same thing happened in the middle of a plowed field, halfway across a suspension bridge, and at the top of a multilevel parking garage. 'Daddy's gone mad, hasn't he?' Dudley asked Aunt Petunia dully late that afternoon. Uncle Vernon had parked at the coast, locked them all inside the car, and disappeared.",Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,car,INT,night,-0.20000000298023224,['maagnitude']
269,269,3,It started to rain. Great drops beat on the roof of the car. Dud ley sniveled.,Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,car,INT,night,0.20000000298023224,['maagnitude']
270,270,3,"'It's Monday,' he told his mother. 'The Great Humberto's on tonight. I want to stay somewhere with a television. '",Dursleys' escape to the shack,"After receiving an overwhelming number of letters, the Dursleys flee to a remote shack in the middle of a storm, showcasing their desperation and determination to keep Harry from whatever is trying to reach him.",7.0,Climax,,,,car,INT,night,0.0,['maagnitude']
